Tweet,Sarcasm(yes/no/no) Ravi,Sarcasm(Yes/No/no) Niranjana,Sarcasm(Yes/No/no) Priya
Them refugees are all scum aye! #FirstDates #Sarcasm,no,yes,no
Best weekend ever #sarcasm oh and now I get to do homework!!!,no,yes,no
Who needs $$$ for #educationmatters #Jobs #homelessness &amp; #domesticviolence prevention when we can fire a warship gâ€¦ https://t.co/MTv7LqMXqG,no,no,no
@WDUZ @MarquesEversoll run game solved! #packers promote FB from PS to 53. #sarcasm,no,no,no
Oh but #trump is a business genius. #sarcasm https://t.co/4FRkFSqU58,no,no,no
@gdinges @austin360 We can thank the $148 million metro rail for that. #sarcasm,no,yes,no
"Opinion:How would we know to vote if someone didn't scream about it 24/7? Thank you,megaphone man. #sarcasm @TTougaw https://t.co/NbJXkgR7wp",no,yes,yes
@GarrettRWang Looks like a real nice lady. I'm sure this is the first time she's been a bit#$. #sarcasm,no,no,no
"Do I need to play ps4 slim to understand ps4 pro? 
  
  #PS4Pro #ps4 #gaming #morons #sarcasm #sony #playstation",no,yes,no
@realDonaldTrump @townhallcom I like the way he does not pay taxes! . I also like how he stiffs small business #Election2016 #sarcasm,no,yes,yes
"Northwich , Manchester &amp; Bracknell this week. Sounds like the venues on an 80's Boy Band Tour. Love my job! #Sarcasm",no,yes,yes
"@gotmariaa oh.., haha I'm just a mindless woman... #Sarcasm",no,yes,no
"Yep, the Star Power is definitely on Trump's side. Good call Fox! ðŸ˜³ðŸ™„ðŸ™„ #sarcasm #WangoTrumpo #WangoWrongo https://t.co/eNC42riTCT",yes,no,yes
@GUCollectors @FullCountTommy I believe this was a #sarcasm tweet,no,no,no
Snow forecast this week - WOW what a shock who would have thought Scotland would ever get snow #ItsBloodyWinterâ€¦ https://t.co/Ir6QdCU5Q9,no,yes,no
I love hearing my neighbor shoot his gun AAAALL DAY. #sarcasm Learn to aim or get out of FL.,yes,yes,yes
Can I work for a shoe store just so I can get first pairs like every other worker??? #sarcasm ðŸ™„,no,yes,no
@PhillyD people crave drama. They do their damnedest to find it any way possible. #PhilDaSavage #bruuuuh #sarcasm,no,yes,no
"So, #PokemonGo released a new update today, Thanks a lot Niantic... #sarcasm lol https://t.co/dv3YNHszBH",no,yes,no
How is it possible that Americans are falling further behind? I though Obama saved us. #sarcasm https://t.co/79jdLE8MbN,yes,yes,yes
@HeatherMachado yah that's it #sarcasm don't apologize for a clean hit,no,no,no
Shocking #sarcasm https://t.co/RvrvYwfjIL,no,no,no
@pjcobbrocks5 Your mother would be so proud of what a lovely person you are. #sarcasm,no,no,no
@c_knightrider @sjredmond In Syria... How awesome she is! #sarcasm,no,no,no
Stop talking to my boobs T-shirt https://t.co/uzvcFZ6mtj #WitticismsRus #sarcasm #Adult_humor https://t.co/37ihnZUkT3,no,no,no
Shocking. #sarcasm https://t.co/9bDVK191Pe,no,no,no
"If you can't convince them, confuse them 
  
  #tweet #follow #me #sarcasm #love #more",no,yes,no
Had a dream Trump grabbed my pussy and I woke up shaking but I was probably overreacting cause rape culture doesn't exist. #sarcasm,no,yes,yes
@tferriss Any of the kardashians #sarcasm,no,no,no
"Finally, Oklahoma is the highest in something! #Sarcasm #OklaEd #YesOn779 https://t.co/8TP7gTrjs5",no,yes,no
Did not get to nap at all today so I am tired &amp; crabby ðŸ¦€ #MessWithMeIDareYou #Sarcasm,no,yes,no
@kayfrizo ok give me a time and place cos I heard that a lot of people are going to this #SoldOut #Sarcasm ðŸ’›,no,yes,no
Hopped back on the twitter train just in time for the elections tomorrow. Great timing. #sarcasm #imnotvoting,no,no,no
Does anyone actually care about celebrities telling them to vote? They have SO MUCH in common with us. #sarcasm,no,yes,no
#ThankYou strange man for demanding that I smile. That really made a world of a difference. #RBF #Sarcasm #GoAway,no,yes,no
@Lawsonbulk @imillhiser And the #SCOTUS just loves being lied to! #sarcasm,no,yes,no
@jordanmack66 @GF4_93 #sarcasm pass it on,no,no,no
@Neuro_Skeptic Right because clearly we're something that exists independently of them. #sarcasm.,yes,yes,yes
Her campaign will send out a press release explaining they just decided to care for the environment instead #sarcasm https://t.co/Iggx7YkQy1,yes,yes,yes
"No, Dear World, there is no whatsoever #Russian firm hand in play at failed coup in #Montenegro. DANGER! #SARCASM https://t.co/yGYAnD8sR6",no,no,no
@SouthernRailUK Happy Dayz!! #sarcasm https://t.co/QGditTwf2g,no,no,no
"@SalSports Those slackers, it appears all the local guys are there ready to work. Darn national guys always getting the breaks. #sarcasm",yes,yes,yes
@NatGotti I read what you say but just know I know bout yo kind well #Sarcasm alright,yes,yes,yes
"@sumohulksmash @CNN uh huh (that's also #sarcasm)
  I didn't realize random people on twitter had such deep control over the US government",yes,yes,yes
@ProducerMcD @adulthuman1 I'm literally voting for them because they DONT behave in that manner! #sarcasm If you're not part of the solution,yes,yes,yes
"@sumohulksmash @CNN Did I need to hashtag sarcasm for you?
  Here #sarcasm 
  All better now?",no,yes,yes
"idk what feels better, being left on read or being called pretty #sarcasm",no,yes,yes
My girlfriend texts back SO fast ðŸ™„ #sarcasm,no,yes,yes
@rickhasen @Slate Good thing the campaign is trustworthy. #sarcasm,no,yes,yes
"@theintercept @evilsax @thenib As he said he would...
  Wrongly conning people out of their money shows he's a good businessman. #sarcasm",yes,yes,yes
@bencasselman Next @FiveThirtyEight tweet will be about #killary's newfound honesty &amp; impeccable record on foreign policy.. #sarcasm #jesus,no,no,no
I'm the dude coffee mug https://t.co/UhCrTxu0Jh #WitticismsRus #funnygift #sarcasm #Funny_gifts https://t.co/x43FAP9twl,no,no,no
"Same, they put us down. Lie about us and are all for the sevconians. Any Pros, I failed to miss?! #sarcasm https://t.co/P6YeIMJdgA",no,no,no
@AllenWest || I'm voting for Hillary - Don't hurt me! #Sarcasm,no,no,no
"@coryramey @WSJ The Republican party is the home of statesmen, the breeding ground of statesmanship ala @jasoninthehouse. #sarcasm",no,no,no
Ah the joy of seeing my ex every other day in bio #blessed #sarcasm,yes,yes,yes
WHAT? You mean a Trump presidency WOULDN'T MAGA? Shocker! #sarcasm #math #economy https://t.co/2OGZbhiXZm,no,yes,yes
@TheRealElvira it's so terrible the Trump wants to create jobs and boost the economy #sarcasm,yes,yes,yes
@FFHitman @andyholloway @jasonffl So you're saying I shouldn't drop Gronk for him?!?! #sarcasm,no,no,no
@GarrettRWang really? But she looks so kind and gentle. #Sarcasm,no,no,no
"If HRC loses, it will either be because of the ""black vote"" or the millennials, NOT b/c of all the white people votâ€¦ https://t.co/nGuATJUjXA",no,no,no
Christie says that he should not be required to release his emails since he's a male Republican. #sarcasm https://t.co/DxcDHgkxPb,no,no,no
Either you love or hate Arby's. #funny #sarcasm #funniest15seconds https://t.co/RYczzebjGK,no,no,no
The disapproval of my dental hygenist could be felt w/ every scrape. The lecture afterward was epic as well. #Ifeelgreat #sarcasm #Iwantm...,no,no,no
Yayyyy! Amazing news! ðŸ˜ #Sarcasm @CNNI https://t.co/yT3pejdOsw,no,no,no
Great. #sarcasm,no,no,no
@bwfast @falvey32 @IndyEleven Oh no - take the 5th place team and promote them instead (Minnesota) #Sarcasm,no,no,no
#Bantz on #onlyconnect is legendary #sarcasm #whatsocialskills?,no,no,no
going to go home and study yipee!!! #sarcasm,yes,yes,yes
going home to study sooooo much fun!!! #sarcasm,yes,yes,yes
"Should I become an RA next spring semester? I mean, I don't know if I have the qualifications... #SendAll #Sarcasm https://t.co/AoCyvJjcDp",no,no,no
"@GaryPolls @sirbryan1955 @realDonaldTrump #Sarcasm 
  I laugh to keep from crying while I #headdesk. #ithelps #onedayleft #almostover",no,no,no
@sophisbae yeah imagining that gives me so much happiness ðŸ™‚ðŸ™‚ #Sarcasm,no,no,no
"@JillFilipovic yep, longstanding class politics had absolutely nothing to do with it #sarcasm",no,no,no
"You won't get an answer ... Only Blacks were subjected to Apartheid, we Indians never suffered #Sarcasm @Jirah_91533 @HleloN @MKThabo93",no,no,no
@Slate But U.S.A. is in the title?! it must be a patriotic song! #sarcasm #peopledontreallylisten #willhappenagain,no,no,no
It's amazing how your stress level can go from 0 to 1000 within 2 minutes of picking your children up from school. #Sarcasm #MomLife,yes,yes,yes
Day just keeps getting better. I really needed a clogged toilet spilling poop water all over. #winning #sarcasm,yes,yes,yes
"She looks like a ""lovely"" person. #sarcasm https://t.co/p5jtKbaT8Y",no,yes,yes
I'm still undecided on who to vote for tomorrow. If I can see some more political memes I can make up my mind. #2016election #sarcasm,yes,yes,yes
My death will probably be caused by being sarcastic at the wrong time... #Sarcasm,yes,yes,yes
"@daniellestaub @Teresa_Giudice @Andy @Bravotv Oh yeah, you are super credible so I totes believe you. #sarcasm #ithinkyoureamoron",no,yes,yes
Exactly!!!ðŸ˜‚ðŸ˜‚ðŸ˜‚ #truestory #fact #sarcasm #me #yup #humor #lmao #lol #true #some #realshitâ€¦ https://t.co/kVpT6Ux1B0,no,yes,no
@SiriusXMFantasy @Jeff_Mans @Tedschuster milly maker winner had the Beasley/witten stack (w/o Dak) where was that in the playbook #sarcasm,no,no,no
Middle finger coffee mug https://t.co/p2f5ONh54P #WitticismsRus #sarcasm #Flip_off https://t.co/2Jfi0TVsAD,no,no,no
Hey @CityBrampton the beautiful part about having a DEAD TREE (For the past 2 years) is that I have no leaves to taâ€¦ https://t.co/EFe1CTS8ie,no,no,no
i really like #logic...and #sarcasm...and you @jenuschajenia &lt;3 https://t.co/hjkkj4U61t,no,no,no
Don't know who Gary Johnson is but he seems to be the best out of a dangerous/inexperienced/insane bunch.â€¦ https://t.co/yFwEG03DDv,no,no,no
@evans_pixie @notbern @ScottBaio Yes says someone who believes we need a woman president. #sarcasm,yes,yes,yes
"We must work on fixing the environment... oh no, they, they must start fixing it, so we can continue to live our lives undisturbed #sarcasm",yes,yes,yes
Super glad weâ€™re diving down a hole of Maine law esoterica today to DISCOURAGE PEOPLE FROM VOTING. #america #mepolitics #sarcasm,yes,yes,yes
@sahilkapur those damn kids &amp; their rappity-rip-rap music! Clearly Trump has his thumb on the millennial pulse... #sarcasm #imwithher,yes,yes,yes
No. I hv it on good authority that Trump will reinstitute slavery/concentration camps on day one. #sarcasmðŸ˜’â€¦ https://t.co/03ATwluCob,yes,yes,yes
Oh the flight schedule changed and you think your travel agent had a hand in it! Well Done my friend :p #Travel #Sarcasm,yes,yes,yes
Totally NOT wasted rn... ðŸ˜¬ðŸ‘¼ðŸ¼ #sarcasm,no,no,yes
"Hits me every single day ðŸ˜‚ âœˆ
  
  #Adulthood #struggles #battles #Aeroplane #LifeOnTheRoad #sarcasm #livingthelifeâ€¦ https://t.co/vdAn6ghUpE",no,no,no
@Goldbroker_INT @JamesGRickards @chrismartenson I bet it will. LoL. #sarcasm,no,no,no
It seems like a poor idea to me #sarcasm,no,no,no
just heard that a pair of brilliant morons are using twitter as their source for a sarcasm detector #sarcasm,yes,yes,yes
"""Make the right choice:fly from â‚¬9.99
  This ..email even H. Clinton wouldn't delete."" 
  Oh how I love the irish #humour + #sarcasm @Ryanair",no,no,no
Presidential #sarcasm https://t.co/xjY2podumm,no,no,no
"@ananavarro No you didn't, OMG! I'm shocked. #sarcasm as if you haven't already screamed it on every show you are invited on.",no,no,no
@CNN @CNNOpinion OMG! I am so shocked... #sarcasm as if you haven't already screamed it on every show you are invited on...,no,no,no
"I just can't help it 
  #sarcasm https://t.co/uxMoXp0S0K",no,no,no
Vacation bucket list. #funny #sarcasm #humor https://t.co/3x2Wjo99vN,no,no,no
@prodnose If it goes to a reply they wont fancy fortress Cressing Road!!! #sarcasm,no,no,no
Musicians are so supportive of each other! #sarcasm,no,no,no
Our season over.... might as well trade von and start rebuilding for the future tbh.... #sarcasm,no,no,no
"They said ""you'll remember the person u #love b4 going to bad""
  It's 2AM and I'm #Confused . 
  #Sarcasm",no,no,no
"Yay, voting on Tues at a high school. That won't take long, thanks archaic election practices #sarcasm #Election2016 #vote",no,no,no
"@funnytvveet #Sarcasm #sarcastic .. without any reason....ðŸ™ðŸ™ðŸ™ðŸ˜‘ðŸ˜‘ðŸ˜¶ðŸ˜¶ðŸ™„ðŸ™„ðŸ˜ðŸ˜®ðŸ˜ðŸ¤”ðŸ˜‚ðŸ˜‚ðŸ˜‚ðŸ˜‚ðŸ˜‚ðŸ˜‚ðŸ˜‚ðŸ˜‚ðŸ˜‚ðŸ˜‚ LOL...3+!;'_""##",no,no,no
"#DysfunctionalFriends 
  @ReaganGomez kills me in this movie. The #sarcasm is AWESOME!
  ""Doggystyle 3-D!"" lmao",no,no,no
"SARCASM IS JUST ANOTHER SERVICE I OFFER 
  
  Shop @ https://t.co/R6NzkuSVEE 
  
  #sarcasm #humor #sarcastic #gift #joke https://t.co/p9IN1RB8Tm",no,no,no
Great Mom coffee mug https://t.co/F9uAHWeM4B #WitticismsRus #sarcasm #funnygift #Profanity https://t.co/eMWCvN2tA5,no,no,no
@CakeMovesMikey Yes so we can write in Superman and hope he saves us all! #sarcasm,yes,yes,no
Oh boy this will be a dandy. #sarcasm #sec #givemeafreakingbreak https://t.co/X0FBCqF5ME,no,no,no
"Go on, be sarcastic. #funfact #Sarcasm #creativity https://t.co/NVqZxkACIm",no,no,no
The state dept are obviously slackers. They need HRC's Crack team of FBI agents who can review 610K emails in 5 dayâ€¦ https://t.co/TWT1uhu2PZ,no,no,no
"@TheTodayShow oh no a footy player in a drug scandel, ive never seen that before #Sarcasm #dumbasses",no,no,no
"@gedawei @TheFix yeah, I probably should have included #sarcasm in previous tweet.",no,no,no
@MikeFitch10 @deanna @wnlake5 You should read the responses. High comedy. Exactly what Rudy wanted. #sarcasm https://t.co/RtJuCbNoBm,no,yes,no
"@ESPNTennis @espn he's the world No.1, he will know how to handle that group. #sarcasm. Go Nole!!! @andy_murray",no,yes,no
@dbernstein @bostonherald Someone from Boston showing themselves to be racist? Nah! That would never happen. #Sarcasm,no,no,no
"So today I get to spend the day at the DMV (and other similar ""fun"" errand-y type places! Woo! #sarcasm",yes,yes,yes
"If you can't win an election after alienating Latinxes, women, Blacks, and queer people, clearly the system is rigged. #sarcasm",yes,yes,yes
ðŸ–•ðŸ¼ðŸ–•ðŸ¼ðŸ–•ðŸ¼ deal with it or go to........ #sarcasm #unapologetic #BadBoy #free #sarcastic #GoToHellâ€¦ https://t.co/EDeV6fdYtz,no,no,no
@KeahuKahuanui #Sarcasm Noted and Logged.,no,no,no
Homonym is the fake name one uses when one wishes to experiment with the homo lifestyle. #sarcasm https://t.co/TFRZPj8NQv,no,yes,yes
@phranqueigh Let me know if you still want me to explain #sarcasm to you,no,yes,no
The #irony AND #sarcasm award 2016 is presented to @20committee https://t.co/1QgfurfvKH,no,no,no
Also explains how Trump can simultaneously agree and disagree with things and ppl in his speeches #sarcasm https://t.co/w2Hi6XiaXn,no,yes,yes
#noway the #corrupt would never lie. #sarcasm #draintheswamp https://t.co/mHxkNfKhGT,no,no,no
Hey @DunkinDonuts my bagel was great this morning #sarcasm https://t.co/MwWqDLu8Ge,no,yes,yes
@DSprayberry yes Dyl you put a lot of effort in that #sarcasm lol ðŸ˜‚ðŸ˜‚,no,no,no
Tomorrow is Election Day and I feel like I haven't heard anything about the candidates or their views. #sarcasm #GoOutAndVote,yes,yes,yes
Good to see government care about #PortTalbot. #sarcasm https://t.co/nRkzlezCkQ,no,yes,no
So the LA Rams have not won a game since week 4.... Great move it really was STL holding them back lol...#sarcasm,yes,yes,yes
"@BScourfield Oh yes, this is sooooo abuse #Sarcasm https://t.co/pgl21bjXI7",no,no,no
"Yes dumbasses clearly Donald Trump will save us from the corporate overlords who run America. 
  #Sarcasm",yes,yes,yes
Yeah. The taste of EQ juices probably isn't pleasant. Even less so when ur wife knows what ur sipping. #Sarcasm https://t.co/Tk4aOFw6df,no,yes,yes
"@harshsinghi1234 wah wah wah....
  btw u r celeb already ðŸ‘ðŸ½ ...sorry from commoners side....#sarcasm",no,no,no
@MercureHotels glad to see you're not too big for electric heaters #sarcasm #Brr #Chilly https://t.co/iC7RtwDyhR,no,yes,yes
Can't wait to get home to tackle the loads of laundry &amp; pages of homework I have to do! So excited. #sarcasm #MondayBlues,yes,yes,yes
"@JimSterling oh wow, CoD actually innovated their stale formula! #sarcasm",no,no,no
#WTF? Someone ... Any one ... Tell me this is #sarcasm . #Please https://t.co/DcxqhWqS9k,no,no,no
"Really? And who are the candidates?
  #sarcasm #Decision2016 #HillaryClinton #DonaldTrump https://t.co/9Ridl5tNGA",no,no,no
@berngiacomazzo @theinquisitr I'm sure Sam will be very grateful for your attribution... #RespectForSam #Sarcasm #DoubleStandards,no,no,no
"Hit like if u love sleep more than any living being in this world
  #sleep
  #trolls 
  #sarcasm",yes,yes,yes
@AngryBlackLady @ghostcatbce uhhhhhh okay? #sarcasm,no,no,no
"""Your life can be good...or not."" All you have to do is sellout your race...no biggie. #sarcasm #sellout #toughchoice #VanHelsing",no,yes,yes
@jimgeraghty shame on you for distributing facts and adding some analysis to them! YOU ARE A MONSTER!!!! #sarcasm #McMullinFinn,no,no,no
"It's said that #sarcasm is the lowest form of #wit. To that I say ""No, really? Hey, somebody give this person a #Nobel #peace #prize!""",yes,yes,yes
#straydogs #humor #sarcasm #kerala #dogbite #doglove #petdogs #dogs #books #ebook Laugh more atâ€¦ https://t.co/qIYkFlzQSM,no,no,no
@cwhelm release some more h2o so we can fish in KS #waterthieves #sarcasm #fish #Idontlivethereanymore,no,no,no
@JamesViser Yeah @LauraChapin! It's ok to kick at person's wheelchair if they're a rude Democrat! #sarcasm #copolitics,no,no,no
17 million dollar cap hit next year. #worthit #sarcasm https://t.co/Je85RwEa9U,no,no,no
@JonGoldsberry44 @Kelly_Kitchel well u got to realize that the B1G just doesn't make enough money #sarcasm,no,yes,no
Lmao i love it when people tell me about all the horrible shit i didnt know you did ðŸ™„ #sarcasm,yes,yes,yes
Having a freaking BLAST at work. ðŸ˜ #RACForever #NeverEndingNotes #Sarcasm https://t.co/K46Jzrac7z,no,yes,no
That first dick pic didn't work... so thank the Lord you sent 5 more to really get your point across #sarcasm,no,yes,no
Look at Dez Bryant from Sunday! What a whiney brat full of furious rage! He's a detriment to this team! #sarcasm https://t.co/Pv2VJIJkTY,no,no,no
Do you have thise days of you dont want no bs with anyone and then goes...who cares... #sad #sarcasm #reality #thosebluedays,no,no,no
@KinnngAJ @TeamStradley yes. ESP twitter. #sarcasm,no,no,no
"@PrisonPlanet clearly this is a cynical ploy by the Evil Russians to make people angry to vote for @realDonaldTrump xD
  #sarcasm",yes,yes,yes
Decided to buy lunch at my high school today. Thanks @MichelleObama for making sure us kids always have enough nutrâ€¦ https://t.co/Sd9pemUdBp,no,no,no
Who sees themselves in their #children? #sarcasm https://t.co/yke7g3Wzb3,no,yes,yes
Waiting for the day I have a kid so someone with a brave enough soul tries to tell me what I'm doing right and wrong. #sarcasm,no,no,no
Ya think? #sarcasm https://t.co/4TrZljELMw,no,yes,yes
"@KaraOTR #Sarcasm I LOVE IT! Agree 100% wth you, Kara. Only the opinions of those affected matter. Everyone else just speculates.",no,yes,yes
"@PageSix oh sure, let me get my check book #sarcasm",no,yes,yes
No climate change to see here folks! #Sarcasm https://t.co/JhxOlE16BO,no,yes,yes
I'm suuuper excited West wants to join the National Guard. #sarcasm,no,no,no
Cancel whatt!!! No oh That will be inimical to national development #sarcasm @biyidare @adeyanjudeji,no,no,no
@jonkay @JoshuaGreen Back when America was great? #sarcasm,no,no,no
This is the final straw. Clearly the worst thing he has done on the campaign trail. #NeverTrump #sarcasm https://t.co/2SAYuZL44Y,no,no,no
We need to build a #wall. Make #Neuperlach great again! #sarcasm #Mauer #Muenchen #Munich,no,no,no
"Off to cardiologist. Can't wait for the ""YOU DID WHAT?"" convo I've grown to love so much!! #sarcasm #whyIsntThereASarcasmFont",no,no,yes
Finally a good reason to Brexit #Sarcasm https://t.co/17Kt7XQuP6,no,no,no
"Allâ€™s well: the fat lady is singing, the markets are soaring, and the NYT is free. Gin and a little #sarcasm to get me through tomorrow.",no,no,no
Apparently(oozing #sarcasm) #restorativepractices &amp; #compassionate leadership make a difference. @inglewoodesâ€¦ https://t.co/VrBrAV7k0y,no,no,no
"@JohnKingCNN Ofcourse @realDonaldTrump isn't a ""bus"" guy, he only flies Private Jet n Private Helicopter just like his supporters #sarcasm",yes,yes,no
@FOcusPpl @PoliticraticOrg @RalstonReports Mel....you seem like such a nice guy. I want to hug you tightly. #sarcasm,yes,yes,yes
According to German newspaper @welt the ad with the German warning on #Trump #beentheredonethat went viral at 14h09 precisely today #sarcasm,no,yes,no
"Ronald Reagan 1989: ""Tear down that wall!""
  
  Donald Trump 2016: ""Build that wall!""
  
  Progress?
  
  #Trump #sarcasm #politics",yes,yes,yes
But you're right. Sexism doesn't exist in today's age anymore. Rape culture isn't a thing. #Sarcasm https://t.co/YXqxdJqW2m,no,yes,yes
Introvert coffee mug https://t.co/eUK1lpnd0L #funnygift #WitticismsRus #sarcasm #Introvert https://t.co/mCT6IchXyV,no,no,no
@LaVelleNeal I bet the charisma in that group is electrifying #Sarcasm,no,no,no
"Hey @SirenLadySTL. I literally just started a presentation. Public safety is less important than MY needs. Turn it off. #MAGA 
  
  #Sarcasm",no,yes,yes
Why would chics be shocked to see dudes at a Go Topless event? DERP!! https://t.co/k9OxC2cMWG #feminist #logicâ€¦ https://t.co/jokNOqJX65,no,no,no
"@pinolillo8 @CBCPolitics is that before or after the 67,000 increase in September? #sarcasm",no,no,no
"@KatiePavlich Thank goodness you cleared that up! Because of course, you're the MEDIA! #sarcasm",no,no,no
"Wow, real classy. On the up and up...#sarcasm https://t.co/XCAjRA1oz0",no,no,no
@DanNerdCubed Dan! As a canadian I can confirm that NOBODY will ever wear big coats because of cold weather over here #sarcasm,yes,yes,yes
"I love when my coworkers answer my direct questions with riddles, it makes the day so much more interesting and fun. #sarcasm",yes,yes,yes
"Not like my sciatic nerve isnt bothering me at all..... maybe I should be just as rude &amp; walk between their space hogging selves
  #Sarcasm",no,no,no
@barrygoldblatt - especially since most Latinos are Catholic and don't use birth control. #sarcasm #justincase,no,yes,yes
@Guntalk @campusreform #freespeech alive &amp; well on campus. Who needs a constitution? #sarcasm,yes,yes,yes
Oh goodie. #sarcasm https://t.co/Eme8WbHdSa,no,no,no
@davidsirota @IBTimes this type of corruption would never happen if republicans controlled the White House. #sarcasm,no,yes,yes
"Clearing the cache.
  #Lel #Rebel #AbsoluteMadman #Random #Sarcasm",no,no,no
@Snapchat I really enjoy how you're not being biased towards either candidate ðŸ‘ðŸ» #sarcasm,no,yes,yes
"@Lyricoldrap does your dad really comment on YouTube, tweet &amp; Facebook? How many can say their grandparents can. #sarcasm @McJuggerNuggets",no,yes,yes
If I were the President I would have made #sarcasm the official language with @MasoomJethwa as the advisor.,yes,yes,yes
@jimmy_dore I know you must be excited for Hillary's Wall Street cabinet. #Sarcasm #YouKnowIt'sComing,yes,yes,yes
@dance_biscuit_ @Delo_Taylor Tweet = #sarcasm,no,no,no
"One day you woke up and America is Great Again, just like that. It will happen just like that. wait n watch #sarcasm #PresidentialElection",yes,yes,yes
INDIANS FOR TRUMP. #lol #sarcasm https://t.co/63Fr9DAAF5 via @YouTube,no,no,no
Here's my prediction. HilRod only wins Florida and Hawaii 505 to 33. Let the revolution begin #Trump2016 #Sarcasm https://t.co/lIJLAp4kWA,no,no,no
"@JuddLegum Plus, they play both kinds of music at those rallies; country and western! #sarcasm",no,no,no
Out for beautiful walk pondering potential results of #Election2016 #sarcasm https://t.co/EyC1gqHuKM,no,no,no
"She literally didn't saw that coming 
  #sarcasm #lol #rofl #twitter #facebook #india #mumbaâ€¦ https://t.co/TpajP2VqoT https://t.co/lYjPgTVEVZ",no,no,no
"Yeah, it seriously does happen sometimes. My #Sarcasm becomes so advanced, people think i'm stupid.",yes,yes,yes
"@RealSkyDiver @VoteTrumpPics Yea, I much rather prefer Satan. #sarcasm https://t.co/e3ptDlnUuS",no,yes,yes
"@EmmMacfarlane @jkenney @natnewswatch @nationalpost Fraction of price, can manipulate the questions, keep results quiet. Perfect! #sarcasm",no,no,no
Tom Brady is such a dick. https://t.co/2C9GCL1a2u #sarcasm,no,no,no
People who book appointments and then don't show are so considerate #NOT #sarcasm #wasteofmytime #gooddayforadrive,yes,yes,no
"No need to care America, go back to your TVs the government has it all under control. Listen to lullabies go back tâ€¦ https://t.co/3A9Xw1F9qi",yes,yes,yes
"@Maddox01a @JoyAnnReid @voxdotcom Probably not... #irony Yet, in their fantasy-infected minds, ""they"" are the ""downtrodden"" ones. #sarcasm",no,no,no
People smiling and being sarcastic on #Newshour ? Who is this Arnab looking man? #GagaOverRaGa #Sarcasm,no,no,no
Guess this is just #Trump style #sarcasm? #1A more important than #2A. This can NOT be #future of #America.â€¦ https://t.co/CziKNmqPBc,no,no,no
"Just think, if Hilly gets in we get 4 more years of hope and change!! #sarcasm #ElectionFinalThoughts",no,no,no
I was glad to hear ATT was buying TimeWarnerFdn when they don't even fully serve the areas they already own the rights too. #sarcasm,yes,yes,no
I was glad to hear @ATT was buying @TimeWarnerFdn when they don't even fully serve the areas they already own the rights too. #sarcasm,yes,yes,no
I just love when I ask my group a question and the only response I get is blank stares or ignored ðŸ™„ #sarcasm,yes,yes,yes
"I've made this morning 5 calls to 5 different entities in DC, all went to voicemail.. Election factor? ðŸ˜‚ðŸ˜‚ðŸ˜‚ #Election2016 #Sarcasm",no,no,no
@SplitSingleband @cherrycocacola all real Americans know how to extinguish fire with bullets. Only commies rely on the man #sarcasm,no,yes,no
"Yes, 14.415 screencaps.
  
  I'll have a lot of fun sorting them all out.
  
  #sarcasm",yes,yes,yes
"#Trump supporters: #classy #educated #savvy #respectful #diverse 
  
  included in this tweet: #sarcasm https://t.co/4DIw00XHy1",no,no,no
Enough of these politicized articles in Western media outlets.... #sarcasm https://t.co/LUscmq8snM,no,no,no
@MaliniP Don't tell me you forgot to write #Sarcasm here,no,no,no
"Let's see, top DNC aides and supporters either step down or take the 5th.....obviously nothing to hide! #sarcasm #ElectionFinalThoughts",no,yes,yes
@NFL fine him. This is disrespectful. #Sarcasm #NoFunLeague https://t.co/3JkeczcD2s,no,no,no
Wonder if anyone can actually put their child through varsity while earning under R2000 per month. #FeesMustFall is totes stupid #sarcasm,no,no,no
"Remember Swades ?
  #sarcastic #sarcasmonly #sarcasm #humor #funny #witty #punny #pun #punintendedâ€¦ https://t.co/phYDYYsI3T",no,no,no
@HillaryClinton @realDonaldTrump The only two presidential candidates who act like children. I am SO excited. #sarcasm #youretoooldforthis,no,yes,yes
https://t.co/xl9r12aSVg along with christie WOW. a Dream Team is born. #sarcasm,no,no,no
"Thanks TRUMP!
  
  #sarcasm https://t.co/ULRtaa0pfw",no,no,no
"@thatlauraruby Also, don't you just feel so bad for him, being asked to read almost 100 books?! #sarcasm",no,no,no
"Strict Parents make Sneaky kids.
  #gagoftheday #exgag #exgagtales #exgagjoke #sarcasm #sneakykids #pizzaâ€¦ https://t.co/PWeg3a5Gav",no,no,no
Hey #NH candidates! (and Super PACs) THANKS for ALL the mailers... #nhpolitics #sarcasm https://t.co/6OaHKffgEs,no,no,no
@SpotifyCares I absolutely love what you've done with Spotify I mean we can't even listen to our playlists without premium #sarcasm #plz,yes,yes,yes
Surely this can't be right. Lefties have told has that we brits are useless at jobs and business without those clevâ€¦ https://t.co/t11fnF4uyq,no,yes,yes
@Judgenap How can there be a pardon for @HillaryClinton when she obviously hasn't done anything wrong? #sarcasm,yes,yes,yes
Life is one very long awkward moment with a few short sighs of relief in between ðŸ˜‚ #life #awkward #sarcasmâ€¦ https://t.co/msAoLLihp6,no,yes,yes
"Nah. Ppl are just complaining b/c their candidate might lose. Immature sore losers! #sarcasm 
  ðŸ˜’ #DemPrimaryâ€¦ https://t.co/fsQi9q22j7",no,no,no
